,Source,Expected,Predicted
23,"Two iron bars, such as are often seen on stable shutters behind old manors, were meant to close this aperture, but time had loosened them.","Deux barreaux de fer, comme on en voit derrière les domaines aux volets toujours fermés des écuries, avaient dû clore cette ouverture. Mais le temps les avait descellés.","Deux barreaux de fer , tel que l ’ on voit souvent sur les persiennes d ’ écurie derrière les vieilles , étaient à fermer cette ouverture , mais le temps les avait ."
24,"These beasts are not St. Martins.""","Ce ne sont point des Saint-Martin, ces bêtes-là!",Ces bêtes - là ne sont pas Saint - .
25,"Besides, we could not both be deceived.""","En outre, nous n'avons pu être trompés tous les deux.","D ' ailleurs , nous ne pouvons nous tromper à deux pas ."
26,"They travelled as expeditiously as possible, and, sleeping one night on the road, reached Longbourn by dinner time the next day.","Le trajet se fit avec toute la rapidité possible. En voyageant toute la nuit, ils réussirent a atteindre Longbourn le jour suivant, a l’heure du dîner.","Ils le plus beau jour , et , dormant une nuit sur la route , arriva a Longbourn , un soir , le lendemain , le lendemain ."
27,"All we shall then have to do, will be to thrash you soundly for the space of a week.""",Nous n’aurons plus qu’à te rouer de coups pendant huit jours.,"Nous aurons à faire , tout le monde vous bien avant la semaine ."
28,"It was this,"" said the engineer, holding up the broken tube.","C'est ceci, dit l'ingénieur en montrant le tube brisé.","C ' est cela , dit l ' ingénieur , en tenant la canne en main ."
29,"""I will go to Meryton,"" said she, ""as soon as I am dressed, and tell the good, good news to my sister Philips.","– Des que je serai prete, déclara-t-elle, j’irai a Meryton pour annoncer la bonne nouvelle a ma sour Philips.","– J ’ irai a Meryton , dit - elle , des que je suis habillée et que je vous donne la bonne nouvelle a ma sour ."
30,"""Speak, my child, speak,"" said d’Artagnan; ""I listen.""","-- Parle, mon enfant, parle, dit d'Artagnan, j'écoute.","-- Parlez , mon enfant , parlez , dit d ' Artagnan ; j ' écoute ."
31,Mr. Brocklehurst again paused--perhaps overcome by his feelings.,"M. Brockelhurst s'arrêta de nouveau, comme s'il eût été suffoqué par ses pensées.","M . Brockelhurst s ' arrêta de nouveau , et il fut deviné que son coeur était brisé ."
32,Milady received this look like a resigned victim; it was impossible to imagine a more submissive or a more mild expression than that which prevailed on her beautiful countenance.,Milady reçut ce regard en victime résignée: il était impossible de voir une expression plus soumise et plus douce que celle qui régnait alors sur son beau visage.,"Milady reçut ce regard résigné à une victime résignée , il était impossible d ' imaginer une plus attentive et plus douce qu ' une expression qui devait porter sur son beau visage ."
33,"Unfortunately, we have but few troops here at the present moment, against so great a populace.",Par malheur nous n’avons que peu de troupe ici en ce moment contre tant de populaire.,"Malheureusement , nous n ’ avons que quelques troupes ici au moment présent contre un si grand peuple ."
34,Il consulta ses livres et retrouva tout de suite une indication a ce sujet.,"He looked over his books, and came on it at once.",He hastily consulted his books and at last a of his opinion .
35,"I would teach little boys, like your mother . . .'","J’enseignerais les petits garçons, comme votre mère…",J ’ de petits garçons comme ta mère …
36,"And on the eleventh day there came a patrol of light cavalry, and all was well.""",Et le onzième jour arriva une patrouille de cavalerie légère. Alors tout alla bien.,"Et le onzième jour du onzième jour , il venait des contre - lames une détonation légère , et tout était bien ."
37,"""I'd have been sooner, but it took me a little time to make it all straight with the missus.","Je serais venu plus tôt, mais il m'a fallu du temps pour arranger ça avec la femme.","-- J ' en serais allé plus tôt , mais cela m ' a pris un peu de temps pour qu ' elle me avec la bonne femme ."
38,"When he came out, black and muddy, dizzy with fatigue, he fell to the ground and had to be wrapped up in a covering.","Quand il en sortait, boueux et noir, ivre de fatigue, il tombait par terre, on devait l'envelopper dans une couverture.","Quand il sortait , noir et , de fatigue , il tomba a terre , il se sentait enveloppé , dans une couverture ."
39,"""If you have never worn them, why did you put them out to be cleaned?""","– Si vous ne les aviez jamais chaussés, pourquoi vouliez-vous les faire cirer ?","-- Si vous ne les avez jamais , pourquoi les avez - vous ?"
40,"And all the evening long the timid townsmen's doors have had to be quick opened to let in rough groups of soldiers, for whom there must be found both board and lodging, and the best of both, or woe betide the house and all within; for the sword is judge and jury, plaintiff and executioner, in these tempestuous times, and pays for what it takes by sparing those from whom it takes it, if it pleases it to do so.","Toute la soirée, les portes des timides citadins ont du s’ouvrir en hâte pour laisser pénétrer de farouches soudards exigeant le gîte et le couvert – et du meilleur, ou gare a la maison et tout ce qui s’y trouve ! Car, en ces jours de tempete, le glaive est juge et partie, plaignant et exécuteur, et paie ce qu’il prend en épargnant, s’il le veut bien, ceux qu’il dépouille.","Et toute la soirée , les portes si violentes , les retenir à se faire rapidement à leurs armes de soldats , à qui il faut trouver à bord deux , le plus convenable de tous deux , ou de désespoir à la maison et à l ' épée ; car l ' épée est juge et le bourreau , en plein ouragan et en ces temps , et la propriété de ce qu ' il faut pour épargner si cela il le plaisir de faire ."
41,"Where is Edie?""",Où est Edie?,Où est Edie ?
42,"Meanwhile Mousqueton continued on his way, and crossing the Pont Neuf, still driving the two sorry animals before him, he reached the Rue aux Ours.","Cependant, Mousqueton continuait sa route, et, traversant le Pont- Neuf, toujours chassant devant lui ses deux haridelles, il atteignit la rue aux Ours.","Cependant Mousqueton continuait de s ' en aller , et traversant le Pont - Neuf , qui donnait encore les deux malheureux animaux devant lui , il arriva rue aux Ours ."
43,"Candide, however, had one advantage over Martin: he lived in the pleasing hopes of seeing Miss Cunegund once more; whereas, the poor philosopher had nothing to hope for. Besides, Candide had money and jewels, and, not withstanding he had lost a hundred red sheep laden with the greatest treasure outside of El Dorado, and though he still smarted from the reflection of the Dutch skipper's knavery, yet when he considered what he had still left, and repeated the name of Cunegund, especially after meal times, he inclined to Pangloss's doctrine.","Cependant Candide avait un grand avantage sur Martin, c'est qu'il espérait toujours revoir mademoiselle Cunégonde, et que Martin n'avait rien à espérer; de plus il avait de l'or et des diamants; et, quoiqu'il eût perdu cent gros moutons rouges chargés des plus grands trésors de la terre, quoiqu'il eût toujours sur le coeur la friponnerie du patron hollandais; cependant quand il songeait à ce qui lui restait dans ses poches, et quand il parlait de Cunégonde, surtout à la fin du repas, il penchait alors pour le système de Pangloss.","Candide , cependant , avait un avantage sur Martin : il vivait dans l ' espoir de revoir mademoiselle Cunégonde ; tandis que le pauvre philosophe n ' avait rien à espérer : d ' ailleurs Candide avait de l ' argent et de ses bijoux , et de son maître - avait perdu cent moutons au plus grand commerce d ' Eldorado , et quoiqu ' il encore dans la réflexion du patron hollandais ; il regardait toujours ce qu ' il avait laissé , et répétait le nom de Cunégonde , et surtout Cunégonde à la doctrine , surtout , quand il prenait la doctrine à Pangloss ."
44,"I will write a letter today to the Director of the Royal Academy, and tomorrow he will admit you without any expense to yourself.","J'écrirai dès aujourd'hui une lettre au directeur de l'académie royale, et dès demain il vous recevra sans rétribution aucune.","Je vais écrire une lettre aujourd ' hui chez le directeur du Royal - Royale , et demain il vous sans dépense ."
45,En regardant par la portiere je m’aperçus que Drebber s’était effondré dans un lourd sommeil d’ivrogne.,"When I looked in at the window, I found Drebber all huddled together in a drunken sleep.","I felt that Drebber had been , but that he was from a while ."
46,"Common prudence urged them to retire, and they did so, followed by Phileas Fogg and Sir Francis.","La plus vulgaire prudence leur commandait de s'éloigner, -- ce qu'ils firent en même temps que Phileas Fogg et sir Francis Cromarty.","La prudence les suivit pour se retirer , et tous deux furent suivis par Phileas Fogg et Sir Francis Cromarty ."
47,She had gathered together all her remaining strength to denounce the culprits.,Elle avait réuni ses dernières forces pour dénoncer les coupables.,Elle s ’ était de tous ses forces pour dénoncer le .
48,"In fifteen days at most, Rochefort would be back; besides, during that fifteen days she would have time to think how she could best avenge herself on the four friends.","Dans quinze jours au plus, Rochefort serait de retour; pendant ces quinze jours, d'ailleurs, elle aviserait à ce qu'elle aurait à faire pour se venger des quatre amis.","En quinze jours , Rochefort se , et , d ' ailleurs , pendant ces quinze jours , elle aurait le temps de croire qu ' elle pourrait bien se venger des quatre amis ."
49,"But whenever the Nautilus drew near the surface, those denizens of the Mediterranean I could observe most productively belonged to the sixty-third genus of bony fish.","Mais de ces divers habitants de la Méditerranée, ceux que je pus observer le plus utilement, lorsque le _Nautilus_ se rapprochait de la surface, appartenaient au soixante-troisième genre des poissons osseux.","Mais , quand le _Nautilus_ s ' approchait de la surface , ces habitants de la Méditerranée , je pus observer le plus grand fonds sous - parcours du - four poissons osseux ."
50,"Indépendamment de la répugnance bien naturelle qu’il avait à confier sa vie au passeport du malheureux Giletti, ce document présentait des difficultés matérielles : la taille de Fabrice atteignait tout au plus à cinq pieds cinq pouces, et non pas à cinq pieds dix pouces comme l’énonçait le passeport ; il avait près de vingt-quatre ans et paraissait plus jeune, Giletti en avait trente-neuf.","Quite apart from the very natural repugnance which he felt towards entrusting his life to the passport of the unfortunate Giletti, this document presented material difficulties. Fabrizio's height was, at the most, five feet five inches, and not five feet ten inches as was stated on the passport.","of the natural creature whom he had to his life in the passport of the unhappy Giletti , this document were with : the stature of Fabrizio kept on everyone at five feet five feet , and not five feet ten inches tall like this passport ; he had near twenty and more than a year , Giletti had been thirty ."
51,There's an idea!,Voilà une idée!,Voilà une idée .
52,"It was strange: a bold, vindictive, and haughty gentleman seemed somehow in the power of one of the meanest of his dependants; so much in her power, that even when she lifted her hand against his life, he dared not openly charge her with the attempt, much less punish her for it.","N'était-ce pas singulier? Un gentleman hautain, téméraire et vindicatif, tombé au pouvoir de la dernière de ses servantes! et lorsqu'elle attentait à sa vie, il n'osait pas l'accuser publiquement et lui infliger un châtiment!","C ’ était étrange : un homme audacieux , mal , et hautain , semblait partager dans la puissance de son ; de sorte que , même en sa puissance , qu ’ elle lui soulevait la main sur la vie , il n ’ osait pas tout seul la charger , en la punir de son tourment ."
53,"Mme. Bonacieux and the duke entered the Louvre without difficulty. Mme. Bonacieux was known to belong to the queen; the duke wore the uniform of the Musketeers of M. de Treville, who, as we have said, were that evening on guard.","Madame Bonacieux et le duc entrèrent au Louvre sans difficulté; Mme Bonacieux était connue pour appartenir à la reine; le duc portait l'uniforme des mousquetaires de M. de Tréville, qui, comme nous l'avons dit, était de garde ce soir-là.","Mme Bonacieux et le duc rentrèrent au Louvre sans peine ; Mme Bonacieux était connue d ' appartenir à la reine ; le duc portait l ' uniforme des mousquetaires de M . de Tréville , qui , comme nous l ' avons dit , était le soir sur la garde ."
54,"This little bag was fastened to the neck of the albatross, and not to its foot, for these birds are in the habit of resting on the surface of the sea; then liberty was given to this swift courier of the air, and it was not without some emotion that the colonists watched it disappear in the misty west.","Ce petit sac fut attaché au cou de l'albatros, et non à sa patte, car ces oiseaux ont l'habitude de se reposer à la surface de la mer; puis, la liberté fut rendue à ce rapide courrier de l'air, et ce ne fut pas sans quelque émotion que les colons le virent disparaître au loin dans les brumes de l'ouest.","Ce petit sac était attaché au cou des albatros , et non à son pied , car ces oiseaux sont d ' habitude à se reposer sur la surface de la mer ; puis la liberté fut donnée par cette de l ' air , et ce n ' était pas sans une émotion que les colons le regardaient disparaître dans la brume ."
55,They stopped.,Ils s’arrêtèrent.,Ils s ' arrêtèrent .
56,"Little by little the stalls emptied, and the miners returned from all the galleries.","Peu a peu, les chantiers se vidaient, des mineurs revenaient de toutes les galeries.","Peu a peu , les chantiers s ' y , et les mineurs revinrent de toutes les galeries ."
57,"""That's the nuisance in not knowing every language,"" Conseil replied, ""or the drawback in not having one universal language!""","Voilà le désagrément de ne pas savoir toutes les langues, répondit Conseil, ou le désavantage de ne pas avoir une langue unique !","-- Voilà l ' inconvénient de ne plus connaître les phrases , répondit Conseil , ou , dans le cas , n ' ayant pas une langue universelle !"
58,"I know my dear uncle and aunt so well, that I am not afraid of requesting it, though I have still something more to ask of the former.",Je connais assez mon oncle et ma tante pour ne pas craindre de leur adresser cette priere. J’ai encore une autre demande a faire a mon oncle.,Je sais que mon cher oncle et ma tante ne m ’ en vont pas pour le prier de me rendre quelque chose encore plus fort à me demander de l ’ autre .
59,"""Do you like this sunrise, Jane?","«Merci, monsieur, répondis-je.","« Est - ce que vous aimez ce soleil , Jane ?"
60,"They were all in a row gesticulating, and anger, vengeance, jealousy, terror, and stupefaction breathed forth at once from their half-opened mouths.","Ils étaient tous sur la même ligne à gesticuler; et la colère, la vengeance, la jalousie, la terreur, la miséricorde et la stupéfaction s’exhalaient à la fois de leurs bouches entrouvertes.","Ils étaient tous en train d ' exciter , de colère , de colère , de jalousie , de terreur et de stupéfaction la bouche entr ' ouverte ."
61,"As to the men lying on the deck, they were about ten in number, but it was to be supposed that more were sleeping down below.","Quant aux hommes couchés sur le pont, ils devaient être au nombre de dix environ, mais il était supposable que d'autres, plus nombreux, dormaient à l'intérieur du brick.","Quant aux hommes qui étaient sur le pont , ils étaient en quantité , mais on devait croire qu ' il y avait plus de sommeil en bas ."
62,"'I find,' says the eldest sister, 'if Betty is not in love, my brother is. I wonder he has not broke his mind to Betty; I warrant she won't say No.'","--Je découvre, dit la soeur aînée, que si Betty n'est pas amoureuse, mon frère l'est; je m'étonne qu'il ne s'en soit pas ouvert à Betty: je gage qu'elle ne dira pas NON.","-- Je le trouve , dit la soeur aînée , si Betty n ' est pas amoureuse , mon frère est ; je m ' étonne qu ' il ne se soit point brisé de l ' avis de Betty , je le demande , et je ne dis pas non ."
63,"However, he was able to dip her chemise in the spring, and to bathe her face with it.","Pourtant, il put tremper sa chemise dans la source, et il lui en lava la figure.","Du reste , il put tremper sa chemise dans le printemps , et lui le visage ."
64,Often these powerful animals rushed at the lounge window with a violence less than comforting.,"Souvent, ces puissants animaux se précipitaient contre la vitre du salon avec une violence peu rassurante.",Souvent ces puissants animaux se jetaient à la vitre du salon avec une violence moins .
65,"""Yes, he will return!"" he repeated with a confidence which his companions could not share.","«Oui, il reviendra! répétait-il avec une confiance que ses compagnons ne pouvaient partager.","-- Oui , il reviendra ! répéta - t - il avec une confiance que ses compagnons ne pouvaient partager ."
66,"Since the factories have closed, one by one, we have had a deuce of a difficulty in getting rid of our stock; and in face of the growing reduction in demand we have been forced to lower our net prices.","Depuis que les usines ferment une a une, nous avons un mal du diable a nous débarrasser de notre stock; et, devant la réduction croissante des demandes, nous nous trouvons bien forcés d'abaisser le prix de revient…","Depuis que les fabriques se sont fermés , un a un , nous avons eu un mal de nous en débarrasser de notre fonds ; et , en face de la réduction , nous avons été forcés de baisser le prix de revient ."
67,"Finally, no longer knowing what to do, and what was to become of me, I denounced you to the official.","Enfin, ne sachant plus que faire et que devenir, je te dénonçai à l’official.","Enfin , ne sachant que faire , et ce qui était de devenir , je vous à l ’ official ."
68,"The vapor whirled in the air to an immeasurable height, as if the valves of an immense boiler had been suddenly opened.","Les vapeurs, projetées dans l'air, tourbillonnaient à une incommensurable hauteur, comme si les soupapes d'une immense chaudière eussent été subitement ouvertes.","Les en l ' air , d ' une hauteur haute , comme si les valves d ' une immense chaudière s ' ouvrirent ."
69,"Deux heures plus tard, le pauvre Fabrice, garni de menottes et attaché par une longue chaîne à la sediola même dans laquelle on l’avait fait monter, partait pour la citadelle de Parme, escorté par huit gendarmes.","A couple of hours later, the unfortunate Fabrizio, fitted with handcuffs and actually attached by a long chain to the sediola into which he had been made to climb, started for the citadel of Parma, escorted by eight constables.","Two hours later , the poor Fabrizio , , was put on his stage in the sediola even in which they had made , for the citadel of Parma , by eight constables ."
70,"The vessel hadn't stirred, because I obviously would have felt its hull vibrating under the influence of the propeller.","Il ne bougeait pas, car j'aurais évidemment senti les frémissements de la coque sous l'impulsion de l'hélice.","Le navire n ' avait pas bougé , car évidemment j ' aurais senti sa coque vibrante sous l ' influence de l ' hélice ."
71,"Un officier de cavalerie avec le bras en écharpe se trouvait à l’entrée du pont ; il était à cheval et avait l’air fort triste ; à dix pas de lui, trois cavaliers à pied arrangeaient leurs pipes.","A cavalry officer with his arm in a sling was guarding the approach to the bridge; he was on horseback and looked very melancholy; ten paces away from him, three dismounted troopers were filling their pipes.","A officer of cavalry was in the bridge , on their off at the bridge ; he was on his horse and looked very ; on his way off , three cavaliers on foot high , whose pipes were their pipes ."
72,"When the unloading of the vessel was finished,--",Lorsque le déchargement de l'embarcation fut terminé:,Quand le déchargement du navire fut terminé :
73,"""But that is not an answer.""","-- Mais ce n'est pas une réponse, cela.",-- Mais ce n ' est pas une réponse .
74,"Well, it was cold--oh, bitter, bitter!--the ground like iron, and no one to help the wounded, so that they froze into such shapes as would make you smile.","Or il faisait un froid... un froid si âpre, si âpre! Le sol dur comme du fer, et personne pour s'occuper des blessés, de sorte qu'en gelant ils prenaient des attitudes qui vous auraient fait rire.","Eh bien ! il faisait froid … Oh ! le sol amer , que la terre , comme le fer , et personne n ' eut le courage d ' , de se en si haut que de vous faire sourire ."
75,Fabrice lui raconta son histoire.,Fabrizio told her his story.,Fabrizio gave him an account .
76,"And yet, how was this granite wall to be opened without powder, and with imperfect instruments?","Et pourtant, cette rive de granit, comment l'ouvrir, comment, sans poudre et avec des instruments imparfaits, désagréger ces roches?","Et cependant , comment ce mur de granit se rouvrit sans poudre , et avec des instruments ?"
77,"Saying these words, d’Artagnan went upstairs, leaving his host a little better satisfied with respect to two things in which he appeared to be very much interested--his debt and his life.","En disant ces mots, d'Artagnan monta l'escalier, laissant son hôte un peu plus rassuré à l'endroit de deux choses auxquelles il paraissait beaucoup tenir: sa créance et sa vie.","En levant ces paroles , d ' Artagnan monta l ' escalier , laissant son hôte un peu mieux satisfait de respect à deux choses qu ' il paraissait fort intéressé , sa dette et sa vie ."
78,And why not?,Pourquoi n’est-ce pas?,Pourquoi pas ?
79,Il sera temps d’avoir de l’esprit quand tu seras évêque.,"It will be time enough to be witty when you are a Bishop.""",It will be time to have brains when you get a Bishop .
80,"He completed his phrase by a broad voluptuous gesture, which the young woman followed with her eyes.","Il acheva sa phrase du geste, un geste large et voluptueux, que la jeune femme suivit du regard.",Il achevait sa phrase par un grand geste de volupté que la jeune femme suivait des yeux .
81,It was the Maheu and Levaque set.,C'étaient les Maheu et les Levaque.,C ' était Maheu et Levaque qui partirent .
82,"There also were stony masses buried beneath carpets of axidia and sea anemone, bristling with long, vertical water plants, then strangely contoured blocks of lava that testified to all the fury of those plutonic developments.","C'étaient aussi des masses pierreuses enfouies sous des tapis d'axidies et d'anémones, hérissées de longues hydrophytes verticales, puis des blocs de laves étrangement contournés qui attestaient toute la fureur des expansions plutoniennes.","Il y avait aussi des masses de pierre sous des tapis de et de mer , hérissées de hautes plantes , puis des , qui à toutes les colères du ."
83,"""Come, come!"" said the cure.",-- Allons donc! fit le curé.,– Allons ! allons ! dit le curé .
84,They all rose right up toward the surface of the ocean.,Toutes montaient vers la surface de l'Océan.,Tous se à la surface de l ' Océan .
85,"A canvas was purchased, minute preparations made, and the artist at last took the work in hand in the room occupied by the married couple, where Laurent said the light was the best.","On acheta une toile, on fit des préparatifs minutieux. Enfin l'artiste se mit à l'oeuvre dans la chambre même des époux; le jour, disait-il, y était plus clair.","Une toile était en train d ' acheter , les préparatifs achevés , et l ' artiste prit enfin le travail dans la chambre occupée par les époux , où Laurent disait que la lumière était le mieux ."
86,"But the jubilation that brightened all faces seemed to darken that of Madame Lefrancois, the innkeeper.","Mais la jubilation qui épanouissait tous les visages paraissait assombrir madame Lefrançois, l’aubergiste.","Mais le brouillard éclairait que toute figure semblait , encore plus que la mère de madame Lefrançois , le cabaretier ."
87,"They could be heard buzzing, and a gleam of all sorts of weapons was visible in the darkness.","On les entendait bourdonner, et l’on voyait reluire toutes sortes d’armes dans les ténèbres.","On entendait des bourdonnements , une lueur d ' armes se distinguait dans l ' obscurité ."
88,"""Oh, my best! oh, my dearest! pause--reflect!"" was her mama's cry; but she swept past her in stately silence, passed through the door which Colonel Dent held open, and we heard her enter the library. A comparative silence ensued.","-- Oh! ma chérie, réfléchissez!» s'écria sa mère. Mais Blanche passa silencieusement devant lady Ingram, franchit la porte que le colonel Dent tenait ouverte, et nous l'entendîmes entrer dans la bibliothèque.","-- Oh ! ma meilleure surprise ! oh ! ma bien - aimée , oui , !» fut - elle le cri de sa mère ; mais elle l ' entendit se diriger vers la porte du colonel Dent ; elle s ' écria d ' un silence qui venait de faire de l ' entrée , et nous l ' entendîmes entrer dans la bibliothèque ."
89,"""Say, rather, into the region where we balance probabilities and choose the most likely.",– Dites plutôt : sur le terrain où nous pesons les hypothèses afin de retenir les plus vraisemblables.,– Dites plutôt dans la région où nous les études et les appartements les plus apparemment .
90,"I came here straight from the Yard to ask you to your face what you had against me.""",Je suis venu droit chez vous pour vous demander en face ce que vous avez contre moi.,Je suis arrivé ici droit au directeur de la police pour vous demander a votre figure ce que vous avez eu contre moi .
91,"""And this one?""",-- Et cette autre?,-- Et celui - là ?
92,Captain Nemo gave me an odd look and gestured no.,"Le capitaine Nemo me regarda d'un air singulier, et fit un geste négatif.",Le capitaine Nemo me fit un regard singulier et sans .
93,"Alice did not quite know what to say to this: so she helped herself to some tea and bread-and-butter, and then turned to the Dormouse, and repeated her question.","Alice ne savait pas trop que répondre à cela. Aussi se servit-elle un peu de thé et une tartine de pain et de beurre ; puis elle se tourna du côté du Loir, et répéta sa question.","Alice ne savait pas tout ce que cela signifiait : elle s ’ aidait à prendre du thé et à du beurre , à la beurre et à du pain , puis se tourna vers le Loir , et répéta sa question ."
94,"Soon the unfortunate girl, through a mist which spread before her eyes, beheld the boot approach; she soon beheld her foot encased between iron plates disappear in the frightful apparatus.","Bientôt la malheureuse vit, à travers un nuage qui se répandait sur ses yeux, approcher le brodequin, bientôt elle vit son pied emboîté entre les ais ferrés disparaître sous l’effrayant appareil.","Bientôt l ’ infortunée , à travers une brume qui étalait devant ses yeux , vit la botte prochaine ; elle vit bientôt son pied se entre des assiettes , dans l ’ effroyable appareil ."
95,"He came to regard his master's project as intended in good earnest, believed in the reality of the bet, and therefore in the tour of the world and the necessity of making it without fail within the designated period.","Déjà même, il s'inquiétait des retards possibles, des accidents qui pouvaient survenir en route. Il se sentait comme intéressé dans cette gageure, et tremblait à la pensée qu'il avait pu la compromettre la veille par son impardonnable badauderie.","Il venait considérer le projet dont il avait l ' intention sérieusement de son maître , croyait à la réalité du pari , et par conséquent , dans le tour du monde , la nécessité de le faire sans être atteinte dans les temps réglementaires ."
96,They appear to be a trying instrument to perform upon.,La cornemuse est un instrument épuisant.,Ils paraissent faire un instrument a remplir .
